Company Name,Location,"Employees
Affected","Layoff
Date"
"(MARFRED) AMCOR PACKAGING
DISTRIBUTION",LAKEVIEW TERRACE,45,2/8/13
"2K GAMES, INC",NORTHRIDGE,48,12/16/13
99CENT ONLY STORES,COMMERCE,5,10/22/13
99CENT ONLY STORES,COMMERCE,109,10/22/13
"ABBOTT HERMATOLOGY,
DIAGNOSTICS DIVISION",SANTA CLARA,76,3/7/13
ABBOTT VASCULAR,MURRIETA,30,2/21/13
ABBOTT VASCULAR,TEMECULA,395,2/21/13
ABBOTT VASCULAR,TEMECULA,10,2/21/13
ABBOTT VASCULAR,TEMECULA,15,2/21/13
"ABBVIE BIOTHERAPEUTICS,INC.",REDWOOD CITY,63,8/28/13
ABERCROMBIE & FITCH,EMERYVILLE,82,3/26/13
ABERCROMBIE & FITCH,SAN DIEGO,62,1/26/13
ACCURATE METAL SOLUTIONS,ANAHEIM,326,11/18/13
ACCURATE METAL SOLUTIONS,OXNARD,22,11/16/13
ACCURATE METAL SOLUTIONS,OXNARD,78,11/16/13
ACTAVIS,CORONA,19,10/1/13
"ACTAVIS, INC (FOREMERLY WATSON
PHARMACEUTICALS)",CORONA,17,6/3/13
"ACTAVIS, INC.",CORONA,14,8/1/13
"ACTAVIS, INC. (FORMERLY WATSON
PHARMACEUTICALS)",CORONA,15,7/1/13
"AERO-ELECTRIC, INC (CONESYS)",TORRANCE,142,5/9/13
"AEROTEK, INC.",OXNARD,164,8/17/13
"AFFYMAX, INC",PALO ALTO,227,5/18/13
ALBERTSONS,LONG BEACH,62,2/10/13
ALBERTSONS,SANTA MONICA,56,2/6/13
ALBERTSONS,SANTA MONICA,56,2/6/13
ALERE,SAN DIEGO,97,9/25/13
"ALL STATE PROMOTIONS, INC",CONCORD,104,1/31/13
"ALL STATE PROMOTIONS, INC",LONG BEACH,85,1/31/13
"ALL STATE PROMOTIONS, INC",SAN DIEGO,33,1/31/13
ALTA RESOURCES,BREA,113,4/28/13
"AMERICAN AUTOMOBILE
ASSOCIATION (AAA)",EL CERRITO,7,3/11/13
"AMERICAN AUTOMOBILE
ASSOCIATION (AAA)",SAN BRUNO,6,3/11/13
"AMERICAN AUTOMOBILE
ASSOCIATION (AAA)",SAN JOSE,6,3/11/13
"AMERICAN AUTOMOBILE
ASSOCIATION (AAA)",SAN JOSE,7,3/11/13
"AMERICAN AUTOMOBILE
ASSOCIATION (AAA)",SAN LEANDRO,8,3/11/13
"AMERICAN AUTOMOTIVE
ASSOCIATION (AAA)",UNION CITY,7,3/11/13
"AMERICAN MEDICAL RESPONSE
WEST-NON-EMERGENCY IFT",BURLINGAME,43,12/13/13
"AMERICAN MEDICAL RESPONSE
WEST-NON-EMERGENCY IFT",CONCORD,30,12/13/13
"AMERICAN MEDICAL RESPONSE
WEST-NON-EMERGENCY IFT",SAN RAFAEL,34,12/13/13
"AMERICAN SUZUKI MOTOR
CORPORATION",BREA,187,3/14/13
AMGEN INC,THOUSAND OAKS,68,12/31/13
AMGEN(THOUSAND OAKS),THOUSAND OAKS,157,4/30/13
AMS FULFILLMENT,VALENCIA,200,6/14/13
"ANATOMIC HOLDINGS AND ANATOMIC
OPERATIONS, INC",CORONA,41,4/17/13
ANDREWS INTERNATIONAL LLC,CUPERTINO,66,11/2/13
APPLIED MATERIALS,SANTA CLARA,1,2/13/13
APPLIED MATERIALS,SANTA CLARA,21,2/13/13
APPLIED MATERIALS,SANTA CLARA,21,2/13/13
APPLIED MATERIALS,SANTA CLARA,3,2/13/13
APPLIED MATERIALS,SANTA CLARA,9,2/13/13
APPLIED MATERIALS,SANTA CLARA,11,2/13/13
APPLIED MATERIALS,SUNNYVALE,34,2/13/13
APPLIED MATERIALS INC,SANTA CLARA,3,5/12/13
APPLIED MATERIALS INC,SANTA CLARA,4,5/12/13
APPLIED MATERIALS INC,SANTA CLARA,1,5/12/13
APPLIED MATERIALS INC,SUNNYVALE,1,5/12/13
"APPLIED MATERIALS, INC",SANTA CLARA,3,11/17/13
"APPLIED MATERIALS, INC",SANTA CLARA,6,11/17/13
"APPLIED MATERIALS, INC",SANTA CLARA,4,11/17/13
"APPLIED MATERIALS, INC",SANTA CLARA,11,11/17/13
"APPLIED MATERIALS, INC",SANTA CLARA,4,11/17/13
"APPLIED MATERIALS, INC",SANTA CLARA,8,11/17/13
"APPLIED MATERIALS, INC",SUNNYVALE,5,11/17/13
"APPLIED MATERIALS, INC.",SANTA CLARA,1,8/30/13
"APPLIED MATERIALS, INC.",SANTA CLARA,2,8/30/13
"APPLIED MATERIALS, INC.",SANTA CLARA,2,8/30/13
"ARAMARK HEALTHCARE
TECHNOLOGIES - PACIFIC HOSP",LONG BEACH,2,10/9/13
"ARAMARK HEALTHCARE-PACIFIC
HOSP OF LONG BEACH",LONG BEACH,88,10/10/13
"ARAMARK SPORTS &
ENTERTAINMENT LLC-HONDA
CENTER",ANAHEIM,568,6/30/13
"ARAMARK SPORTS &
ENTERTAINMENT-ANGEL STADIUM",ANAHEIM,1088,10/2/13
"ARAMARK SPORTS &
ENTERTAINMENT-LA CONVENTION
CTR.",LOS ANGELES,621,12/31/13
ARCHSTONE,SANTA ANA,56,2/25/13
AREVA NP INC,MOUNTAIN VIEW,2,10/22/13
AREVA SOLAR INC,MOUNTAIN VIEW,5,7/16/13
"AREVA SOLAR, INC.",MOUNTAIN VIEW,1,8/27/13
ARVATO DIGITAL SERVICES,VALENCIA,41,2/7/13
"ASIG (AIRCRAFT SERVICE
INTERNATIONAL GROUP)",LOS ANGELES,90,11/30/13
"AT&T'S GLOBAL BUSINESS
SOLUTIONS",ANAHEIM,115,4/15/13
"AT&T'S GLOBAL BUSINESS
SOLUTIONS",TUSTIN,66,4/6/13
ATLANTIC EXPRESS OF CALIFORNIA,LONG BEACH,160,12/31/13
"ATLANTIC EXPRESS OF L.A., INC",LOS ANGELES,307,12/31/13
AVERY PRODUCTS CORPORATION,BREA,75,7/8/13
AVNET INTEGRATED,SIMI VALLEY,68,12/27/13
"AVNET INTEGRATED COMPANY
(NEXICORE SERVICES)",SIMI VALLEY,108,7/6/13
BAE SYSTEMS,SAN DIEGO,81,7/6/13
BAE SYSTEMS,SAN FRANCISCO,169,2/8/13
BAE SYSTEMS,SAN FRANCISCO,120,4/9/13
BAE SYSTEMS,SAN FRANCISCO,137,6/3/13
BAE SYSTEMS,SAN FRANCISCO,109,7/31/13
BAE SYSTEMS,SAN FRANCISCO,165,9/23/13
BAE SYSTEMS,SAN FRANCISCO,155,11/19/13
BAE SYSTEMS-SAN DIEGO,SAN DIEGO,99,6/6/13
"BAE SYSTEMS-SAN DIEGO SHIP
REPAIR",SAN DIEGO,302,4/7/13
BANK OF AMERICA,BREA,51,1/29/13
BANK OF AMERICA,CONCORD,37,12/22/13
BANK OF AMERICA,FRESNO,543,8/31/13
BANK OF AMERICA,LANCASTER,61,1/29/13
BANK OF AMERICA,RANCHO CORDOVA,57,4/2/13
BANK OF AMERICA,RANCHO CORDOVA,110,12/22/13
BANK OF AMERICA,SAN JOSE,108,12/22/13
BANK OF AMERICA,SIMI VALLEY,51,1/29/13
"BANK OF AMERICA-LA CHECK AND
PROOF OPERATIONS",LOS ANGELES,150,5/1/13
BANK OF AMERICAN,CONCORD,52,12/22/13
BAYER HEALTH CARE,SUNNYVALE,6,11/19/13
BAYER HEALTHCARE,MOUNTAIN VIEW,63,8/31/13
BAYER HEALTHCARE LLC,EMERYVILLE,153,6/30/13
BAYER HEALTHCARE LLC,EMERYVILLE,187,9/1/13
"BAYVIEW BERRY FARMS, LLC",OXNARD,89,5/24/13
"BCI COCA-COLA BOTTLING COMPANY
OF LOS ANGELES",SAN DIEGO,92,11/8/13
BECHTEL POWER CORPORATION,SANTA MARGARITA,40,3/29/13
"BECHTEL POWER CORPORATION
(CATALINA SOLAR PRJT)",MOJAVE,32,3/3/13
"BECHTEL POWER CORPORATION
(RUSSEL CTY ENERGY CTR)",HAYWARD,72,3/15/13
BELL-CARTER OLIVE COMPANY,CORNING,150,6/8/13
BERKELEY HEARTLAB,ALAMEDA,19,6/30/13
BERKELEY HEARTLAB,ALAMEDA,32,7/31/13
BERKELEY HEARTLAB,ALAMEDA,28,8/31/13
BERKELEY HEARTLAB,ALAMEDA,1,9/30/13
BERKELEY HEARTLAB,ALAMEDA,3,10/31/13
